Location,Price,Bedrooms,Bathrooms,Size (sqft),Ownership,Property type,Garden
Sunderland,133400.0,2.0,1.0,431.0,,Terraced,No
Sunderland,150500.0,2.0,2.0,528.0,,Flat,No
Newcastle,,2.0,,432.0,,Semi-Detached,No
Gateshead,130400.0,4.0,1.0,449.0,,Flat,No
Gateshead,179600.0,3.0,2.0,567.0,,Detached,Yes
Newcastle,214800.0,1.0,1.0,404.0,Freehold,,
Newcastle,182600.0,2.0,1.0,438.0,,,Patio
Newcastle,,2.0,1.0,,,,No
Newcastle,193400.0,2.0,1.0,407.0,Leasehold,Semi-Detached,No
Morpeth,,3.0,,460.0,Freehold,Semi-Detached,Yes
,,1.0,1.0,414.0,,Detached,Yes
Gateshead,167500.0,6.0,2.0,430.0,Freehold,,Yes
Sunderland,54800.0,2.0,1.0,422.0,,Not Specified,No
Gateshead,138300.0,,2.0,450.0,,Semi-Detached,Not Specified
Sunderland,,3.0,1.0,,Leasehold,Detached,Yes
Gateshead,118900.0,1.0,1.0,459.0,,,Yes
Gateshead,156500.0,3.0,1.0,465.0,Leasehold,Semi-Detached,No
Newcastle,162400.0,4.0,1.0,446.0,,Semi-Detached,Yes
Newcastle,338200.0,5.0,1.0,485.0,Freehold,Detached,Yes
Newcastle,,2.0,2.0,,,Apartment,No
Newcastle,273100.0,1.0,1.0,561.0,Unknown,,No
Newcastle,153200.0,4.0,1.0,457.0,,Apartment,No
Gateshead,175300.0,6.0,1.0,626.0,Freehold,Not Specified,No
Newcastle,211000.0,3.0,1.0,509.0,Leasehold,Detached,Yes
Sunderland,65600.0,1.0,1.0,430.0,Leasehold,Terraced,Yes
Gateshead,166900.0,3.0,1.0,585.0,,Flat,Yes
Gateshead,117300.0,3.0,1.0,440.0,Freehold,,No
Consett,61500.0,1.0,1.0,454.0,Freehold,Semi-Detached,No
Newcastle,204900.0,3.0,1.0,423.0,,Terraced,
Newcastle,220200.0,3.0,1.0,478.0,,Semi-Detached,Not Specified
Morpeth,56800.0,2.0,1.0,438.0,,Semi-Detached,
Newcastle,222400.0,4.0,1.0,443.0,,Not Specified,Yes
Gateshead,134800.0,3.0,1.0,448.0,,Flat,Yes
Gateshead,147000.0,2.0,1.0,432.0,,Semi-Detached,Yes
Newcastle,214300.0,2.0,1.0,566.0,,Not Specified,Yes
Newcastle,,2.0,,419.0,,Semi-Detached,No
,,1.0,2.0,437.0,Unknown,Flat,Yes
Newcastle,,2.0,,485.0,,Not Specified,Patio
Gateshead,150600.0,3.0,2.0,435.0,Freehold,Mansionette,Yes
Newcastle,285100.0,1.0,2.0,555.0,,Semi-Detached,Patio
Newcastle,216200.0,2.0,1.0,533.0,Unknown,Terraced,
Newcastle,202200.0,2.0,2.0,451.0,Unknown,Terraced,Yes
Newcastle,149900.0,2.0,1.0,437.0,,Flat,Yes
,,2.0,1.0,453.0,Co-operative Society,,Not Specified
Gateshead,174000.0,2.0,1.0,416.0,Unknown,Terraced,Yes
Gateshead,137300.0,4.0,2.0,414.0,Freehold,Semi-Detached,Yes
Newcastle,542700.0,3.0,1.0,817.0,,Semi-Detached,Yes
Newcastle,,3.0,,421.0,,Not Specified,
Gateshead,223400.0,2.0,1.0,669.0,Freehold,Apartment,Yes
Sunderland,94600.0,3.0,1.0,455.0,,,
Gateshead,,1.0,,548.0,,Apartment,Not Specified
Gateshead,124000.0,3.0,1.0,472.0,Leasehold,Semi-Detached,Not Specified
Gateshead,211300.0,1.0,1.0,456.0,,Semi-Detached,Patio
Newcastle,145600.0,3.0,1.0,430.0,Freehold,Semi-Detached,No
Newcastle,138200.0,5.0,1.0,457.0,,Not Specified,Yes
Sunderland,63700.0,2.0,1.0,413.0,Freehold,Apartment,No
Newcastle,268600.0,3.0,2.0,419.0,,Terraced,Yes
Gateshead,149100.0,3.0,1.0,455.0,,,
Gateshead,422700.0,3.0,2.0,835.0,,Mansionette,Patio
Gateshead,525600.0,2.0,1.0,1693.0,,Not Specified,Yes
Newcastle,129600.0,2.0,1.0,427.0,,Apartment,Yes
Newcastle,156200.0,1.0,1.0,493.0,,Detached,
Newcastle,163000.0,1.0,1.0,449.0,,,Yes
Gateshead,,2.0,,444.0,,Semi-Detached,
Morpeth,123600.0,1.0,1.0,583.0,,Semi-Detached,Not Specified
Newcastle,250200.0,3.0,1.0,429.0,Freehold,Flat,Not Specified
Gateshead,193800.0,2.0,1.0,495.0,,Detached,No
Gateshead,222900.0,2.0,2.0,633.0,Freehold,Flat,Yes
Gateshead,164300.0,1.0,1.0,412.0,Freehold,Semi-Detached,No
Gateshead,186300.0,2.0,1.0,459.0,Freehold,Semi-Detached,Yes
Gateshead,147400.0,3.0,2.0,443.0,,Semi-Detached,
Sunderland,141200.0,3.0,2.0,443.0,Leasehold,Semi-Detached,Patio
Gateshead,127800.0,3.0,1.0,411.0,,,No
Gateshead,150400.0,2.0,2.0,410.0,,Terraced,Yes
Newcastle,228200.0,2.0,1.0,432.0,,Detached,Yes
Gateshead,94100.0,2.0,1.0,441.0,Freehold,,Patio
,,2.0,1.0,429.0,,Flat,Yes
,,2.0,1.0,423.0,,Mansionette,Yes
Newcastle,,2.0,,476.0,Unknown,Semi-Detached,Yes
Morpeth,82000.0,2.0,1.0,809.0,,Semi-Detached,Yes
Sunderland,85900.0,2.0,1.0,487.0,,Flat,Yes
Gateshead,202600.0,3.0,1.0,429.0,,Not Specified,Yes
Gateshead,140400.0,2.0,1.0,441.0,,Semi-Detached,Yes
Gateshead,,5.0,1.0,,,Mansionette,No
Morpeth,45900.0,2.0,1.0,548.0,Co-operative Society,Semi-Detached,
Gateshead,135600.0,3.0,1.0,460.0,Leasehold,Terraced,No
Newcastle,227300.0,2.0,1.0,449.0,Leasehold,,Yes
Newcastle,169600.0,2.0,1.0,459.0,,Detached,
Newcastle,177000.0,2.0,2.0,433.0,,Semi-Detached,Yes
,,1.0,1.0,453.0,Unknown,Detached,No
Newcastle,,2.0,,634.0,,,Patio
Newcastle,193100.0,2.0,1.0,577.0,,Flat,
Newcastle,,3.0,1.0,,,Detached,Yes
Gateshead,208800.0,3.0,1.0,610.0,,,No
Newcastle,,3.0,,,,Semi-Detached,Yes
Consett,54500.0,3.0,1.0,443.0,Freehold,Semi-Detached,Not Specified
Newcastle,257600.0,2.0,1.0,778.0,,Flat,Patio
Newcastle,192200.0,2.0,1.0,448.0,,Semi-Detached,Yes
Newcastle,231900.0,2.0,2.0,468.0,,Semi-Detached,Yes
Newcastle,96800.0,3.0,1.0,416.0,,Terraced,Yes
Gateshead,148900.0,2.0,2.0,424.0,Co-operative Society,Not Specified,Yes
Morpeth,64800.0,2.0,1.0,491.0,,Apartment,Yes
Newcastle,,2.0,1.0,,,Apartment,
Gateshead,133700.0,2.0,1.0,441.0,,Semi-Detached,Yes
Newcastle,211600.0,4.0,1.0,445.0,Leasehold,Semi-Detached,Yes
Newcastle,339600.0,1.0,2.0,561.0,,Not Specified,Yes
Newcastle,197400.0,3.0,2.0,420.0,Co-operative Society,Semi-Detached,Yes
Newcastle,155700.0,2.0,1.0,436.0,,Flat,No
Newcastle,385600.0,2.0,1.0,477.0,Unknown,Semi-Detached,Yes
Gateshead,170100.0,2.0,1.0,428.0,Unknown,Apartment,Not Specified
Newcastle,218800.0,2.0,1.0,477.0,,Semi-Detached,Yes
Newcastle,128400.0,1.0,2.0,419.0,,Terraced,No
,,2.0,,802.0,,Semi-Detached,Not Specified
Newcastle,254000.0,3.0,2.0,578.0,Leasehold,Flat,
Newcastle,161200.0,2.0,1.0,423.0,Freehold,Detached,No
Gateshead,251400.0,2.0,1.0,669.0,,Semi-Detached,Yes
Gateshead,136300.0,2.0,1.0,492.0,Freehold,Detached,Yes
Newcastle,197500.0,4.0,1.0,492.0,,Flat,Yes
Gateshead,158600.0,3.0,1.0,456.0,,Semi-Detached,Yes
Newcastle,295200.0,2.0,2.0,448.0,,Semi-Detached,No
Newcastle,166300.0,2.0,1.0,420.0,,Flat,
Newcastle,148100.0,2.0,2.0,443.0,,Detached,Yes
Newcastle,323800.0,2.0,1.0,1216.0,Unknown,Flat,No
Sunderland,88800.0,2.0,1.0,450.0,,Apartment,Patio
Gateshead,192000.0,4.0,1.0,499.0,Leasehold,Flat,Patio
Gateshead,169600.0,3.0,1.0,427.0,,,No
,,2.0,1.0,450.0,,Semi-Detached,Not Specified
Gateshead,252600.0,2.0,2.0,477.0,,Semi-Detached,Yes
Newcastle,261500.0,2.0,2.0,451.0,,,Yes
Gateshead,123100.0,5.0,1.0,491.0,,Mansionette,Yes
Newcastle,230100.0,3.0,1.0,466.0,,Detached,
Newcastle,,3.0,2.0,,,Terraced,Patio
Newcastle,,1.0,,642.0,,Semi-Detached,Yes
Newcastle,229300.0,2.0,2.0,502.0,,,Yes
Gateshead,186700.0,3.0,1.0,529.0,,Semi-Detached,Not Specified
Gateshead,135200.0,1.0,1.0,428.0,Freehold,,No
Newcastle,201300.0,1.0,1.0,513.0,,Flat,Not Specified
Gateshead,132700.0,3.0,1.0,461.0,,Semi-Detached,Patio
Gateshead,145000.0,2.0,1.0,428.0,Freehold,Terraced,Not Specified
Newcastle,245100.0,2.0,1.0,415.0,Leasehold,Mansionette,Yes
Gateshead,170300.0,4.0,1.0,473.0,Freehold,Terraced,Yes
Sunderland,90200.0,5.0,1.0,518.0,,Not Specified,Yes
Gateshead,169900.0,1.0,1.0,464.0,,Semi-Detached,Yes
,,1.0,2.0,441.0,Unknown,Terraced,Not Specified
Sunderland,60700.0,3.0,1.0,406.0,,Detached,Yes
Gateshead,246700.0,2.0,1.0,767.0,,Semi-Detached,Not Specified
Gateshead,111500.0,3.0,1.0,405.0,Freehold,Not Specified,Yes
Newcastle,210300.0,3.0,1.0,425.0,,Flat,Yes
Gateshead,124300.0,4.0,1.0,573.0,,Flat,Yes
Gateshead,,3.0,1.0,,,Detached,Not Specified
Gateshead,,2.0,1.0,,,Semi-Detached,Yes
Gateshead,183200.0,2.0,2.0,422.0,,Semi-Detached,Yes
Consett,81700.0,2.0,2.0,438.0,,Flat,Yes
Newcastle,202100.0,3.0,1.0,443.0,,Semi-Detached,Yes
Newcastle,167900.0,4.0,2.0,450.0,,,Yes
Sunderland,91000.0,2.0,1.0,479.0,,Semi-Detached,
Newcastle,222300.0,1.0,1.0,432.0,,Terraced,Yes
Newcastle,224700.0,2.0,1.0,442.0,Leasehold,Terraced,Yes
Newcastle,195200.0,2.0,1.0,413.0,,,Not Specified
,,3.0,1.0,433.0,,,
Newcastle,219700.0,3.0,1.0,437.0,Freehold,Semi-Detached,
Gateshead,147200.0,2.0,1.0,436.0,,Semi-Detached,Yes
Morpeth,178500.0,4.0,1.0,651.0,,,
Gateshead,214100.0,2.0,1.0,513.0,,Semi-Detached,Yes
Newcastle,249800.0,1.0,1.0,448.0,,Apartment,Yes
Gateshead,108700.0,3.0,1.0,455.0,,Detached,Not Specified
Gateshead,129000.0,2.0,1.0,425.0,Leasehold,Semi-Detached,Yes
Newcastle,382900.0,4.0,1.0,733.0,,Mansionette,Not Specified
Morpeth,184400.0,2.0,2.0,491.0,,Terraced,Not Specified
Morpeth,80300.0,1.0,1.0,636.0,Leasehold,Terraced,Yes
Newcastle,563400.0,2.0,1.0,706.0,,Semi-Detached,Yes
Newcastle,178000.0,2.0,1.0,544.0,,Semi-Detached,
Gateshead,179100.0,2.0,1.0,408.0,,Mansionette,Yes
Gateshead,173200.0,2.0,1.0,640.0,Leasehold,Apartment,Yes
Gateshead,,3.0,,448.0,,Semi-Detached,
Gateshead,181500.0,2.0,1.0,498.0,,Detached,No
Newcastle,162400.0,2.0,1.0,413.0,Leasehold,Semi-Detached,Not Specified
Newcastle,353800.0,4.0,1.0,742.0,,Flat,Yes
Gateshead,200800.0,3.0,2.0,430.0,Co-operative Society,Apartment,No
Sunderland,80000.0,2.0,1.0,431.0,,Terraced,Not Specified
Newcastle,248100.0,1.0,1.0,522.0,,,No
Newcastle,332300.0,1.0,1.0,440.0,Freehold,Terraced,Yes
Newcastle,,2.0,,474.0,Freehold,Semi-Detached,Yes
Gateshead,266800.0,2.0,2.0,628.0,Unknown,Flat,No
Newcastle,,3.0,,406.0,Unknown,,No
Gateshead,180800.0,2.0,1.0,465.0,Leasehold,Semi-Detached,Yes
Gateshead,162300.0,2.0,1.0,403.0,Leasehold,Terraced,Yes
Newcastle,233000.0,3.0,1.0,468.0,Freehold,Semi-Detached,Yes
Newcastle,247000.0,1.0,2.0,459.0,Leasehold,Not Specified,
Newcastle,341400.0,2.0,1.0,852.0,Co-operative Society,Detached,No
Newcastle,,2.0,1.0,,,Semi-Detached,
Newcastle,219500.0,2.0,1.0,457.0,,,Patio
Gateshead,,2.0,,473.0,,Not Specified,No
Gateshead,,3.0,,428.0,Leasehold,Terraced,No
Newcastle,223200.0,2.0,1.0,449.0,Leasehold,,No
Newcastle,161300.0,3.0,2.0,502.0,Leasehold,Terraced,No
Newcastle,254400.0,,1.0,469.0,Leasehold,Mansionette,Yes
Gateshead,216200.0,2.0,2.0,748.0,Freehold,Detached,Yes
Newcastle,359800.0,2.0,1.0,832.0,,Semi-Detached,Not Specified
Newcastle,110800.0,3.0,1.0,462.0,,Detached,Yes
Gateshead,148100.0,5.0,1.0,453.0,,Not Specified,No
Sunderland,,2.0,,423.0,,Flat,
Newcastle,160900.0,2.0,1.0,416.0,,,Yes
Gateshead,178400.0,3.0,1.0,441.0,,,Not Specified
Gateshead,132800.0,2.0,1.0,460.0,Leasehold,Terraced,
Consett,61400.0,3.0,2.0,434.0,,Mansionette,Yes
Newcastle,186400.0,4.0,1.0,461.0,,Semi-Detached,Yes
Newcastle,153500.0,2.0,1.0,432.0,,Semi-Detached,
Gateshead,,2.0,,424.0,,Flat,Yes
Newcastle,317400.0,2.0,2.0,465.0,,Semi-Detached,Patio
Newcastle,152000.0,2.0,1.0,407.0,,Terraced,Yes
Newcastle,189200.0,2.0,2.0,425.0,Freehold,Terraced,Yes
Newcastle,178700.0,3.0,1.0,492.0,,Semi-Detached,Yes
Morpeth,53600.0,2.0,1.0,487.0,,Terraced,Yes
Morpeth,79500.0,3.0,1.0,446.0,Leasehold,Semi-Detached,No
,,3.0,1.0,420.0,Leasehold,Semi-Detached,Not Specified
Gateshead,196300.0,1.0,2.0,507.0,,Semi-Detached,Yes
Newcastle,188900.0,4.0,1.0,649.0,Leasehold,,Yes
Gateshead,343800.0,1.0,1.0,1053.0,,Semi-Detached,Not Specified
Newcastle,144900.0,2.0,1.0,408.0,Freehold,Semi-Detached,Yes
Newcastle,191000.0,5.0,2.0,459.0,,Semi-Detached,
Newcastle,108700.0,2.0,1.0,411.0,Freehold,Semi-Detached,Yes
Sunderland,78200.0,2.0,1.0,477.0,Freehold,Terraced,
Gateshead,137700.0,2.0,2.0,437.0,,,Yes
Sunderland,119700.0,2.0,1.0,841.0,,Mansionette,No
Gateshead,120000.0,1.0,1.0,415.0,Co-operative Society,Flat,Not Specified
Sunderland,88900.0,2.0,1.0,478.0,,Flat,Yes
Gateshead,141000.0,1.0,1.0,561.0,,Terraced,No
,,3.0,1.0,450.0,,Semi-Detached,No
Gateshead,223500.0,3.0,1.0,441.0,Leasehold,Detached,Not Specified
Gateshead,241600.0,2.0,1.0,772.0,,Terraced,Yes
Newcastle,261800.0,1.0,1.0,409.0,,,Patio
Gateshead,144700.0,1.0,1.0,428.0,,Apartment,Yes
Newcastle,166100.0,4.0,1.0,449.0,Leasehold,Mansionette,Yes
Gateshead,131200.0,1.0,1.0,446.0,Leasehold,,No
Newcastle,276600.0,2.0,1.0,431.0,Freehold,Terraced,Yes
Newcastle,158300.0,2.0,1.0,437.0,Freehold,Not Specified,Not Specified
Gateshead,257900.0,3.0,1.0,1096.0,,Semi-Detached,Yes
Gateshead,148700.0,4.0,1.0,406.0,,Terraced,
Newcastle,219800.0,2.0,2.0,408.0,Freehold,Not Specified,Yes
Consett,157800.0,2.0,1.0,547.0,Co-operative Society,Semi-Detached,Not Specified
Gateshead,160400.0,2.0,1.0,447.0,Unknown,Flat,Yes
Gateshead,,3.0,,450.0,Freehold,Apartment,No
Newcastle,276000.0,3.0,1.0,449.0,,Semi-Detached,Yes
Newcastle,,2.0,1.0,,,Not Specified,Yes
Gateshead,,2.0,2.0,,,Semi-Detached,
Gateshead,153400.0,3.0,1.0,433.0,,Semi-Detached,Yes
Gateshead,178700.0,1.0,1.0,456.0,Unknown,Terraced,Yes
Gateshead,159200.0,2.0,1.0,437.0,,Terraced,Not Specified
Sunderland,127700.0,3.0,1.0,1106.0,Leasehold,Terraced,
Newcastle,151900.0,2.0,1.0,474.0,,Terraced,Yes
Newcastle,208100.0,1.0,1.0,473.0,,Terraced,No
Newcastle,225100.0,4.0,1.0,428.0,,Flat,Patio
Gateshead,197500.0,2.0,2.0,562.0,,Terraced,No
Newcastle,325700.0,6.0,2.0,450.0,,Mansionette,Not Specified
Sunderland,89000.0,1.0,1.0,434.0,,Detached,Not Specified
Gateshead,178800.0,2.0,1.0,443.0,Co-operative Society,Detached,Not Specified
Sunderland,81100.0,2.0,2.0,417.0,Freehold,,Yes
Newcastle,201100.0,1.0,1.0,422.0,Unknown,,Yes
Newcastle,194100.0,4.0,2.0,422.0,Leasehold,Semi-Detached,Yes
Gateshead,164400.0,3.0,1.0,498.0,,Semi-Detached,Yes
Morpeth,76600.0,3.0,1.0,447.0,Freehold,Terraced,
Gateshead,,3.0,1.0,,,Semi-Detached,Yes
Newcastle,,3.0,1.0,,Co-operative Society,Semi-Detached,Yes
Newcastle,,3.0,1.0,,,Terraced,No
Newcastle,122200.0,2.0,1.0,506.0,Freehold,Flat,Yes
Newcastle,262100.0,3.0,1.0,428.0,,,
Gateshead,367300.0,3.0,1.0,847.0,Co-operative Society,Mansionette,Yes
,,4.0,1.0,441.0,Freehold,Flat,
,,2.0,1.0,581.0,,Semi-Detached,Not Specified
Sunderland,116200.0,2.0,1.0,477.0,Freehold,Semi-Detached,Not Specified
Newcastle,121800.0,4.0,2.0,403.0,,Flat,Yes
Consett,54400.0,2.0,2.0,421.0,Freehold,Detached,
Gateshead,173400.0,3.0,2.0,445.0,Freehold,,Yes
Newcastle,,3.0,2.0,,Unknown,Not Specified,Yes
Newcastle,229000.0,1.0,1.0,443.0,,Detached,Yes
Gateshead,159800.0,2.0,2.0,431.0,,Semi-Detached,No
Morpeth,123100.0,2.0,1.0,628.0,,,No
Gateshead,130200.0,3.0,1.0,420.0,Leasehold,Flat,Yes
Gateshead,167900.0,1.0,1.0,530.0,,Apartment,Patio
Newcastle,250700.0,1.0,1.0,462.0,,,No
Gateshead,312500.0,5.0,1.0,1040.0,,Semi-Detached,No
Gateshead,,1.0,,683.0,Unknown,Flat,Not Specified
Newcastle,146400.0,2.0,1.0,427.0,,Terraced,No
Morpeth,142200.0,2.0,2.0,496.0,,Semi-Detached,Yes
Newcastle,,2.0,2.0,,,Flat,No
Gateshead,149100.0,1.0,1.0,550.0,,Flat,Yes
Newcastle,238800.0,2.0,2.0,498.0,,Mansionette,No
Gateshead,175300.0,5.0,1.0,450.0,Freehold,Terraced,Yes
Morpeth,157800.0,2.0,2.0,693.0,Leasehold,,No
Newcastle,170200.0,2.0,1.0,405.0,,Terraced,Yes
Newcastle,144000.0,6.0,1.0,443.0,,Detached,Yes
Gateshead,182500.0,5.0,1.0,536.0,,Not Specified,Yes
Newcastle,221300.0,3.0,1.0,409.0,,Mansionette,No
Gateshead,133800.0,,1.0,470.0,Leasehold,Detached,Yes
Newcastle,216700.0,2.0,1.0,436.0,,,
Sunderland,106900.0,3.0,1.0,614.0,Freehold,Terraced,Yes
Newcastle,198000.0,2.0,1.0,548.0,Co-operative Society,Not Specified,Yes
Gateshead,175300.0,,1.0,442.0,Co-operative Society,,
Newcastle,,2.0,,,Leasehold,Flat,Patio
Gateshead,338000.0,2.0,1.0,851.0,,Semi-Detached,Yes
Gateshead,107400.0,1.0,1.0,407.0,Leasehold,Terraced,Yes
Gateshead,457000.0,3.0,2.0,1167.0,Leasehold,Terraced,
Gateshead,128200.0,2.0,2.0,435.0,Freehold,Semi-Detached,Yes
Morpeth,121500.0,2.0,1.0,519.0,Leasehold,Flat,No
,,3.0,1.0,,,Terraced,Not Specified
Newcastle,,3.0,1.0,,,Detached,Yes
Newcastle,242900.0,3.0,1.0,437.0,Unknown,Not Specified,Yes
,,4.0,1.0,588.0,Co-operative Society,Terraced,Yes
Morpeth,161900.0,2.0,1.0,533.0,,Semi-Detached,Yes
Gateshead,136100.0,3.0,1.0,446.0,Leasehold,Flat,No
Gateshead,,2.0,1.0,,,Terraced,Yes
Gateshead,207000.0,1.0,2.0,455.0,,Semi-Detached,Yes
Newcastle,328500.0,2.0,1.0,841.0,,Semi-Detached,Yes
Sunderland,145200.0,2.0,1.0,561.0,,Apartment,
,,3.0,1.0,509.0,,Detached,No
Gateshead,128100.0,2.0,1.0,419.0,,Terraced,Yes
Newcastle,272900.0,2.0,1.0,448.0,Unknown,Terraced,Yes
Newcastle,113800.0,4.0,1.0,432.0,Co-operative Society,Flat,No
Newcastle,147200.0,2.0,1.0,404.0,Freehold,Terraced,Yes
Morpeth,303500.0,1.0,1.0,542.0,Freehold,Not Specified,
Newcastle,199300.0,3.0,1.0,493.0,,,
Morpeth,80600.0,3.0,1.0,419.0,,Semi-Detached,Patio
Gateshead,188000.0,2.0,1.0,458.0,Leasehold,Semi-Detached,Not Specified
Newcastle,169800.0,1.0,1.0,402.0,,Semi-Detached,No
Newcastle,220000.0,2.0,1.0,427.0,,Not Specified,No
,,3.0,2.0,452.0,Freehold,Terraced,No
Gateshead,149300.0,3.0,1.0,428.0,,Semi-Detached,Yes
Gateshead,148900.0,3.0,1.0,432.0,,Not Specified,
Consett,116300.0,3.0,1.0,409.0,Leasehold,Semi-Detached,Yes
Newcastle,220700.0,2.0,1.0,460.0,,Detached,Not Specified
Newcastle,203600.0,3.0,2.0,465.0,,Terraced,Yes
Newcastle,263700.0,4.0,2.0,455.0,,Semi-Detached,Yes
Gateshead,163900.0,1.0,1.0,471.0,Freehold,Mansionette,Yes
Gateshead,162000.0,1.0,2.0,442.0,,Detached,Not Specified
Morpeth,41500.0,2.0,1.0,407.0,,Semi-Detached,Yes
Gateshead,151900.0,1.0,1.0,434.0,,Terraced,Not Specified
Newcastle,356000.0,,2.0,668.0,,,No
Gateshead,292300.0,2.0,1.0,704.0,Leasehold,Terraced,Yes
Gateshead,175100.0,1.0,1.0,455.0,Co-operative Society,Semi-Detached,Yes
Gateshead,206400.0,5.0,2.0,487.0,,Flat,Not Specified
Newcastle,136800.0,3.0,1.0,437.0,,,
Morpeth,128700.0,2.0,1.0,548.0,Leasehold,Semi-Detached,Yes
Newcastle,,4.0,,600.0,,Semi-Detached,
Gateshead,163100.0,2.0,1.0,417.0,,Not Specified,Yes
Sunderland,130700.0,3.0,1.0,485.0,,Flat,Not Specified
Gateshead,223900.0,2.0,1.0,521.0,Co-operative Society,Terraced,
Sunderland,101300.0,3.0,1.0,504.0,,Terraced,
Newcastle,,1.0,,441.0,,,Patio
Gateshead,135400.0,1.0,1.0,446.0,Leasehold,Not Specified,Not Specified
Newcastle,227000.0,2.0,2.0,421.0,,Semi-Detached,No
Gateshead,113600.0,1.0,1.0,430.0,,Semi-Detached,Yes
Gateshead,137200.0,3.0,1.0,471.0,Freehold,Semi-Detached,No
Newcastle,178500.0,3.0,1.0,436.0,,Apartment,
Newcastle,201300.0,2.0,1.0,598.0,,Flat,Yes
Newcastle,289200.0,3.0,1.0,541.0,Freehold,Semi-Detached,No
Gateshead,138900.0,2.0,1.0,495.0,Freehold,Semi-Detached,Not Specified
Newcastle,241500.0,3.0,1.0,486.0,Leasehold,Terraced,No
Newcastle,229000.0,3.0,1.0,420.0,Freehold,Semi-Detached,Yes
,,2.0,1.0,534.0,,Semi-Detached,
,,2.0,1.0,419.0,,,No
Newcastle,173400.0,2.0,1.0,433.0,,Flat,Yes
Sunderland,126200.0,2.0,1.0,838.0,,Flat,Yes
,,2.0,1.0,611.0,,Detached,No
Morpeth,92800.0,2.0,1.0,550.0,Freehold,Flat,Yes
Gateshead,263100.0,3.0,2.0,465.0,Freehold,Detached,
,,2.0,1.0,888.0,,Flat,
Newcastle,327100.0,1.0,2.0,688.0,,Semi-Detached,Yes
Gateshead,87200.0,2.0,1.0,436.0,Leasehold,Flat,No
Gateshead,82900.0,2.0,1.0,459.0,Freehold,Not Specified,No
Newcastle,,2.0,1.0,,,Terraced,Yes
Gateshead,226300.0,1.0,1.0,613.0,Leasehold,Flat,
Gateshead,198000.0,1.0,2.0,430.0,,Semi-Detached,Yes
Newcastle,299200.0,3.0,1.0,620.0,,Semi-Detached,Yes
,,2.0,1.0,,,Terraced,Yes
Gateshead,208100.0,2.0,1.0,506.0,Freehold,,
,,3.0,1.0,452.0,Freehold,Semi-Detached,
Newcastle,206900.0,4.0,1.0,500.0,Freehold,Apartment,No
Newcastle,,2.0,,471.0,,Detached,Not Specified
Newcastle,279600.0,2.0,2.0,460.0,,Semi-Detached,Not Specified
Gateshead,106400.0,3.0,1.0,444.0,,Mansionette,Yes
Newcastle,775100.0,2.0,1.0,1373.0,Freehold,Semi-Detached,No
Newcastle,,3.0,1.0,,,Detached,
Newcastle,,,,,Leasehold,Semi-Detached,No
Sunderland,85000.0,4.0,1.0,451.0,,Semi-Detached,Yes
Sunderland,95900.0,1.0,1.0,523.0,,Semi-Detached,Yes
Gateshead,171800.0,2.0,1.0,524.0,Freehold,Semi-Detached,Yes
Gateshead,164700.0,2.0,1.0,451.0,,Semi-Detached,
Newcastle,230900.0,2.0,1.0,452.0,Freehold,,No
Morpeth,184500.0,3.0,1.0,438.0,Freehold,Mansionette,Yes
Newcastle,160200.0,2.0,1.0,427.0,Freehold,Semi-Detached,Not Specified
Gateshead,226800.0,2.0,1.0,512.0,,Flat,No
Gateshead,172800.0,3.0,1.0,468.0,Freehold,,Yes
Gateshead,162700.0,2.0,1.0,425.0,,,No
Consett,62400.0,1.0,1.0,422.0,Leasehold,Detached,Yes
,,3.0,1.0,445.0,,Semi-Detached,No
,,3.0,1.0,461.0,Leasehold,Semi-Detached,Yes
Gateshead,153000.0,3.0,1.0,489.0,,Terraced,Patio
Morpeth,,3.0,1.0,,,Detached,
Newcastle,369900.0,3.0,2.0,426.0,,Not Specified,No
Morpeth,98100.0,2.0,1.0,657.0,,Detached,No
Consett,39200.0,2.0,1.0,414.0,,Detached,No
Newcastle,1166800.0,3.0,1.0,3208.0,,Semi-Detached,No
Gateshead,218100.0,3.0,1.0,446.0,,,
Gateshead,,2.0,,464.0,Leasehold,Semi-Detached,No
Newcastle,246300.0,3.0,1.0,435.0,Co-operative Society,Terraced,Yes
Sunderland,88200.0,1.0,1.0,483.0,,Terraced,Yes
Newcastle,226100.0,3.0,1.0,436.0,,Not Specified,No
Newcastle,203600.0,1.0,1.0,429.0,Freehold,Terraced,Yes
Gateshead,,1.0,,428.0,,Terraced,
Gateshead,175700.0,2.0,1.0,505.0,,Semi-Detached,Not Specified
Newcastle,229600.0,2.0,1.0,535.0,,Terraced,Yes
Newcastle,172400.0,2.0,1.0,458.0,,Detached,Yes
Gateshead,184400.0,4.0,1.0,566.0,,Detached,Yes
Gateshead,137600.0,3.0,1.0,444.0,Freehold,Semi-Detached,Yes
Newcastle,163300.0,2.0,2.0,419.0,,Semi-Detached,Yes
,,3.0,1.0,507.0,,Detached,Yes
Gateshead,162800.0,1.0,2.0,478.0,Unknown,Semi-Detached,Not Specified
Newcastle,214500.0,3.0,1.0,442.0,,Semi-Detached,Not Specified
Consett,57000.0,3.0,2.0,544.0,,Mansionette,Yes
Newcastle,135400.0,2.0,1.0,413.0,,Detached,Yes
Gateshead,161000.0,1.0,2.0,407.0,,Semi-Detached,Patio
